5317SC,00:0c:e6:c9:2f:42,93,93
5317SC,00:0c:e6:c8:95:42,86,94
5317SC,00:0c:e6:c8:91:42,93,93
5317SC,00:0c:e6:c8:9f:42,68,90
5317SC,00:0c:e6:c9:31:42,60,75
5317SC,00:0c:e6:c9:30:02,63,81
5317SC,00:0c:e6:c8:91:02,70,82
5317SC,00:0c:e6:c8:9d:02,60,85
5317SC,00:0c:e6:c8:86:02,64,86
5317SC,00:0c:e6:c9:2e:42,69,85
5317SC,00:0c:e6:c8:a0:02,39,61
5317SC,00:0c:e6:c8:87:42,91,91
5317SC,00:0c:e6:c9:31:02,40,82
5317SC,00:0c:e6:c8:9d:42,77,94
5317SC,00:0c:e6:c8:98:02,87,87
5317SC,00:0c:e6:c8:a0:42,49,79
5317SC,00:0c:e6:c8:9c:42,72,94
5317SC,00:0c:e6:c8:94:42,72,72
5317SC,00:0c:e6:c9:30:42,88,92
5317SC,00:0c:e6:c8:97:02,80,80
5317SC,00:0c:e6:c9:2f:02,69,85
5317SC,00:0c:e6:c8:a1:02,53,75
5317SC,00:0c:e6:c8:9e:02,55,87
5317SC,00:0c:e6:c9:2e:02,62,81
5317SC,00:0c:e6:c8:96:02,49,49
5317SC,00:0c:e6:c8:9c:02,52,73
5317SC,00:0c:e6:c8:94:02,43,43
5317SC,00:0c:e6:c8:9f:02,58,73
5317SC,00:0c:e6:c8:95:02,43,79
5317SC,00:0c:e6:c8:85:02,77,85
5317SC,00:0c:e6:c8:77:02,68,68
5317SC,00:0c:e6:c8:7c:02,70,70
5317SC,00:0c:e6:c8:88:02,46,84
5317SC,00:0c:e6:c8:84:02,59,87
5317SC,00:0c:e6:c8:93:02,68,84
5315SC,00:0c:e6:c9:30:42,88,92
5315SC,00:0c:e6:c8:9d:42,90,92
5315SC,00:0c:e6:c9:2f:02,87,87
5315SC,00:0c:e6:c8:93:42,89,93
5315SC,00:0c:e6:c9:30:02,63,85
5315SC,00:0c:e6:c8:91:02,83,87
5315SC,00:0c:e6:c8:a1:42,78,91
5315SC,00:0c:e6:c8:86:02,67,85
5315SC,00:0c:e6:c8:93:02,64,84
5315SC,00:0c:e6:c8:a0:42,58,85
5315SC,00:0c:e6:c8:9c:42,89,93
5315SC,00:0c:e6:c8:7c:02,86,86
5315SC,00:0c:e6:c9:31:42,73,90
5315SC,00:0c:e6:c8:88:42,87,87
5315SC,00:0c:e6:c8:84:42,92,92
5315SC,00:0c:e6:c8:9f:42,60,80
5315SC,00:0c:e6:c9:2e:02,74,84
5315SC,00:0c:e6:c9:2e:42,78,86
5315SC,00:0c:e6:c8:77:02,80,80
5315SC,00:0c:e6:c8:a1:02,61,82
5315SC,00:0c:e6:c8:95:42,77,89
5315SC,00:0c:e6:c8:9c:02,68,80
5315SC,00:0c:e6:c8:96:02,81,81
5315SC,00:0c:e6:c9:31:02,55,77
5315SC,00:0c:e6:c8:94:02,79,87
5315SC,00:0c:e6:c8:92:02,72,87
5315SC,00:0c:e6:c8:84:02,69,87
5315SC,00:0c:e6:c8:88:02,59,80
5315SC,00:0c:e6:c8:9d:02,59,84
5315SC,00:0c:e6:c8:9e:02,69,85
5315SC,00:0c:e6:c8:9f:02,40,64
5315SC,00:0c:e6:c8:95:02,56,77
5315SC,00:0c:e6:c8:a0:02,41,69
